Party,Name,Constituency,ConstituencyVote,Constituency%,Vote1,Vote2,Vote3,Vote4,Vote5,Vote6,Vote7,Vote8
Con,Alex Chalk,Cheltenham,Remain,57,For,Abstain,Against,Against,Abstain,Against,Against,Against
Lab,Sarah Champion,Rotherham,Leave,68,For,Against,For,Against,Against,Against,Against,Against
SNP,Douglas Chapman,Dunfermline and West Fife,Remain,60,Abstain,For,Abstain,Abstain,For,Against,Against,Against
Lab,Jenny Chapman,Darlington,Leave,58,For,For,For,For,Abstain,Against,Against,Abstain
Lab,Bambos Charalambous,Enfield - Southgate,Remain,62,For,For,For,For,For,Against,Against,Abstain
SNP,Joanna Cherry,Edinburgh South West,Remain,72,Abstain,For,Abstain,Abstain,For,Against,Against,Against
Con,Rehman Chishti,Gillingham and Rainham,Leave,64,Against,Against,Against,Against,Against,For,Abstain,Against
Con,Sir Christopher Chope,Christchurch,Leave,60,Against,Against,Against,Against,Against,For,For,Against
Con,Jo Churchill,Bury St Edmunds,Leave,54,Against,Against,Against,Against,Against,Against,Against,Against
Con,Colin Clark,Gordon,Remain,55,Abstain,Against,Against,Against,Against,Against,Abstain,Abstain
Con,Greg Clark,Tunbridge Wells,Remain,55,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Con,Kenneth Clarke,Rushcliffe,Remain,59,For,Abstain,For,For,For,Against,Against,Against
Con,Simon Clarke,Middlesbrough South and East Cle...,Leave,65,Against,Against,Against,Against,Against,For,For,Against
Con,James Cleverly,Braintree,Leave,61,Against,Against,Against,Against,Against,Abstain,Against,Against
Con,Sir Geoffrey Clifton-Brown,The Cotswolds,Remain,52,Against,Against,Against,Against,Against,For,For,Against
Lab,Ann Clwyd,Cynon Valley,Leave,57,Against,For,Against,Against,For,Against,Against,Against
Lab,Vernon Coaker,Gedling,Leave,56,For,For,For,For,Abstain,Against,Against,Against
TIG,Ann Coffey,Stockport,Remain,53,Against,For,Against,Against,For,Against,Against,Against
Con,Thérèse Coffey,Suffolk Coastal,Leave,56,Against,Against,Against,Against,Against,Abstain,Abstain,Against
Con,Damian Collins,Folkestone and Hythe,Leave,62,Against,Against,Against,For,Against,Against,Against,For
Lab,Julie Cooper,Burnley,Leave,67,For,Abstain,For,For,Abstain,Against,Against,Abstain
Lab,Rosie Cooper,West Lancashire,Leave,55,For,Against,For,Against,Against,Against,Against,Against
Lab,Yvette Cooper,Normanton - Pontefract and Castle...,Leave,69,For,For,For,For,Abstain,Against,Against,Abstain
Lab,Jeremy Corbyn,Islington North,Remain,78,For,For,For,For,Abstain,Against,Against,Abstain
Con,Alberto Costa,South Leicestershire,Leave,58,Against,Against,Against,For,Against,Against,Against,For
Con,Robert Courts,Witney,Remain,54,Against,Against,Against,Against,Against,For,For,For
SNP,Ronnie Cowan,Inverclyde,Remain,64,Abstain,For,Abstain,Abstain,For,Against,Against,Against
Con,Geoffrey Cox,Torridge and West Devon,Leave,57,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Lab,Neil Coyle,Bermondsey and Old Southwark,Remain,73,For,For,For,Against,For,Against,Against,Against
Con,Stephen Crabb,Preseli Pembrokeshire,Leave,56,For,Against,Against,For,Against,Against,Against,For
Lab,Sir David Crausby,Bolton North East,Leave,58,For,For,For,For,For,Against,Against,Against
SNP,Angela Crawley,Lanark and Hamilton East,Remain,65,Abstain,For,Abstain,Abstain,For,Against,Against,Against
Lab,Mary Creagh,Wakefield,Leave,63,For,For,For,Abstain,For,Against,Against,Against
Lab,Stella Creasy,Walthamstow,Remain,67,For,For,For,Abstain,For,Against,Against,Against
Con,Tracey Crouch,Chatham and Aylesford,Leave,65,Against,Against,Against,Against,Against,For,Abstain,Against
Lab,Jon Cruddas,Dagenham and Rainham,Leave,70,For,Against,For,For,Against,Against,Against,Abstain
Lab,John Cryer,Leyton and Wanstead,Remain,65,For,For,For,For,Abstain,Against,Against,Abstain
Lab,Judith Cummins,Bradford South,Leave,64,For,Abstain,For,Abstain,Abstain,Against,Against,Abstain
Lab,Alex Cunningham,Stockton North,Leave,67,For,For,For,For,For,Against,Against,Against
Lab,Jim Cunningham,Coventry South,Remain,51,Against,For,For,For,Against,Against,Against,Against
Lab,Janet Daby,Lewisham East,Remain,65,For,For,For,Abstain,For,Against,Against,Against
Lab,Nic Dakin,Scunthorpe,Leave,69,For,For,For,Abstain,Abstain,Against,Against,Abstain
LD,Sir Edward Davey,Kingston and Surbiton,Remain,58,Abstain,For,Abstain,Abstain,For,Against,Against,Abstain
Lab,Wayne David,Caerphilly,Leave,55,For,For,For,For,Abstain,Against,Against,Abstain
Con,Chris Davies,Brecon and Radnorshire,Leave,52,Against,Against,Against,Against,Against,For,For,For
Con,David T. C. Davies,Monmouth,Remain,52,Against,Against,Against,Against,Against,For,For,Against
Lab,Geraint Davies,Swansea West,Remain,57,For,For,For,Abstain,For,Against,Against,Against
Con,Glyn Davies,Montgomeryshire,Leave,56,Against,Against,Against,Against,Against,For,For,For
Con,Mims Davies,Eastleigh,Leave,54,Against,Against,Against,Against,Against,For,Against,Against
Con,Philip Davies,Shipley,Leave,52,Against,Against,Against,Against,Against,For,For,Against
Con,David Davis,Haltemprice and Howden,Leave,55,Against,Against,Against,Against,Against,For,Against,Against
SNP,Martyn Day,Linlithgow and East Falkirk,Remain,58,Abstain,For,Abstain,Abstain,For,Against,Against,Against
Lab,Marsha De Cordova,Battersea,Remain,77,For,For,For,Abstain,For,Against,Against,Against
Lab,Gloria De Piero,Ashfield,Leave,71,For,Abstain,For,For,Abstain,Against,Against,Abstain
Lab,Thangam Debbonaire,Bristol West,Remain,79,For,For,For,For,For,Against,Against,Abstain
Lab,Emma Dent Coad,Kensington,Remain,69,For,For,For,Against,For,Against,Against,Against
Lab,Tanmanjeet Singh Dhesi,Slough,Leave,54,For,For,For,For,Abstain,Against,Against,Abstain
Con,Caroline Dinenage,Gosport,Leave,62,Against,Against,Against,Against,Against,For,For,Against
Con,Jonathan Djanogly,Huntingdon,Leave,53,For,Abstain,Against,For,Against,Against,Against,For
Con,Leo Docherty,Aldershot,Leave,58,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
SNP,Martin Docherty-Hughes,West Dunbartonshire,Remain,62,Abstain,For,Abstain,Abstain,For,Against,Against,Against
Lab,Anneliese Dodds,Oxford East,Remain,68,For,For,For,For,For,Against,Against,Abstain
DUP,Nigel Dodds,Belfast North,None,None,Against,Against,Against,Abstain,Against,Abstain,For,Abstain
DUP,Sir Jeffrey M. Donaldson,Lagan Valley,None,None,Against,Against,Against,Abstain,Against,Abstain,For,Abstain
Con,Michelle Donelan,Chippenham,Leave,52,Against,Against,Against,Against,Against,Abstain,For,Against
Con,Nadine Dorries,Mid Bedfordshire,Leave,52,Against,Against,Against,Against,Against,For,For,Against
Con,Steve Double,St Austell and Newquay,Leave,64,Against,Against,Against,Against,Against,For,For,Against
Lab,Stephen Doughty,Cardiff South and Penarth,Remain,55,For,For,For,Abstain,For,Against,Against,Against
Lab,Peter Dowd,Bootle,Leave,55,For,For,For,For,Abstain,Against,Against,Abstain
Con,Oliver Dowden,Hertsmere,Leave,51,Against,Against,Against,Against,Against,Against,Against,Against
Con,Jackie Doyle-Price,Thurrock,Leave,70,Against,Against,Against,Against,Against,For,Against,Against
Con,Richard Drax,South Dorset,Leave,59,Against,Against,Against,Against,Against,For,For,Against
Lab,David Drew,Stroud,Remain,54,For,For,For,For,For,Against,Against,Abstain
Lab,Jack Dromey,Birmingham - Erdington,Leave,63,For,For,For,For,Abstain,Against,Against,Against
Con,James Duddridge,Rochford and Southend East,Leave,60,Against,Against,Against,Against,Against,For,For,Against
Lab,Rosie Duffield,Canterbury,Remain,55,For,For,For,Abstain,For,Against,Against,Against
Con,David Duguid,Banff and Buchan,Leave,54,Against,Against,Against,Against,Against,Against,Against,For
Con,Sir Alan Duncan,Rutland and Melton,Leave,54,Abstain,Against,Against,Abstain,For,Against,Against,Abstain
Con,Iain Duncan Smith,Chingford and Woodford Green,Remain,51,Against,Against,Against,Against,Against,For,For,Against
Con,Philip Dunne,Ludlow,Leave,59,Against,Against,Against,Against,Against,Against,For,Against
Lab,Angela Eagle,Wallasey,Remain,50,For,For,For,Abstain,For,Against,Against,Abstain
Lab,Maria Eagle,Garston and Halewood,Remain,52,For,For,For,Abstain,For,Against,Against,Against
PC,Jonathan Edwards,Carmarthen East and Dinefwr,Leave,54,Abstain,For,Abstain,For,For,Against,Against,Abstain
Lab,Clive Efford,Eltham,Leave,52,For,For,For,For,For,Against,Against,Against
Lab,Julie Elliott,Sunderland Central,Leave,60,For,For,For,Abstain,Abstain,Against,Against,Abstain
Con,Michael Ellis,Northampton North,Leave,61,Against,Against,Against,Against,Against,For,Against,Against
Lab,Dame Louise Ellman,Liverpool - Riverside,Remain,73,For,For,For,Against,For,Against,Against,Against
Con,Tobias Ellwood,Bournemouth East,Leave,54,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Lab,Chris Elmore,Ogmore,Leave,60,For,For,For,Abstain,For,Against,Against,Against
Con,Charlie Elphicke,Dover,Leave,63,Against,Against,Against,Against,Against,For,For,Against
Lab,Bill Esterson,Sefton Central,Remain,55,For,For,For,For,For,Against,Against,Against
Con,George Eustice,Camborne and Redruth,Leave,58,Against,Against,Against,For,Against,For,For,For
Lab,Chris Evans,Islwyn,Leave,59,For,Abstain,For,For,Abstain,Against,Against,Abstain
Con,Nigel Evans,Ribble Valley,Leave,59,Against,Against,Against,Against,Against,For,For,Against
Con,Sir David Evennett,Bexleyheath and Crayford,Leave,65,Against,Against,Against,Against,Against,Abstain,Against,Against
Con,Michael Fabricant,Lichfield,Leave,58,Against,Against,Against,Against,Against,For,For,Against
Con,Sir Michael Fallon,Sevenoaks,Leave,54,Against,Against,Against,Abstain,Against,Against,For,For
Lab,Paul Farrelly,Newcastle-under-Lyme,Leave,62,For,For,For,For,For,Against,Against,Against
LD,Tim Farron,Westmorland and Lonsdale,Remain,53,Abstain,For,Abstain,Abstain,For,Against,Against,Abstain
SNP,Marion Fellows,Motherwell and Wishaw,Remain,63,Abstain,For,Abstain,Abstain,For,Against,Against,Against
Ind,Frank Field,Birkenhead,Leave,52,Against,Against,Against,Against,Against,Against,Against,Against
Con,Mark Field,Cities of London and Westminster,Remain,71,For,Abstain,Against,Against,For,Against,For,Against
Lab,Jim Fitzpatrick,Poplar and Limehouse,Remain,66,For,Against,For,Against,Abstain,Against,Against,Against
Lab,Colleen Fletcher,Coventry North East,Leave,59,For,For,For,For,Abstain,Against,Against,Abstain
Lab,Caroline Flint,Don Valley,Leave,69,Abstain,Against,For,Against,Against,Against,Against,Against
Con,Vicky Ford,Chelmsford,Leave,51,For,Against,Against,For,Against,Against,Against,Abstain
Con,Kevin Foster,Torbay,Leave,63,Against,Against,Against,Against,Against,For,Against,For
Lab,Yvonne Fovargue,Makerfield,Leave,65,For,Against,For,Abstain,Abstain,Against,Abstain,Abstain
Con,Liam Fox,North Somerset,Remain,52,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Lab,Vicky Foxcroft,Lewisham - Deptford,Remain,75,For,For,For,For,For,Against,Against,Abstain
Con,Mark Francois,Rayleigh and Wickford,Leave,68,Against,Against,Against,Against,Against,For,For,Against
Con,Lucy Frazer,South East Cambridgeshire,Remain,55,Abstain,Against,Against,Against,Against,Against,Abstain,Against
Con,George Freeman,Mid Norfolk,Leave,61,For,Abstain,Against,For,Against,Abstain,Against,For
Con,Mike Freer,Finchley and Golders Green,Remain,69,Against,Against,Against,Against,For,Against,Against,Against
Lab,James Frith,Bury North,Leave,54,For,For,For,For,For,Against,Against,Abstain
Lab,Gill Furniss,Sheffield - Brightside and Hillsb...,Leave,61,For,For,For,For,Abstain,Against,Against,Abstain
Con,Marcus Fysh,Yeovil,Leave,59,Against,Against,Against,Against,Against,For,For,Against
Lab,Hugh Gaffney,Coatbridge - Chryston and Bellshill,Remain,61,For,For,For,For,For,Against,Against,Abstain
Con,Sir Roger Gale,North Thanet,Leave,65,Against,Against,Against,Against,Against,Against,Against,Against
TIG,Mike Gapes,Ilford South,Remain,56,Against,For,Against,Against,For,Against,Against,Against
Lab,Barry Gardiner,Brent North,Remain,57,For,For,For,Abstain,Abstain,Against,Against,Abstain
Con,Mark Garnier,Wyre Forest,Leave,63,Against,Abstain,Against,Against,Against,Abstain,For,For
Con,David Gauke,South West Hertfordshire,Remain,54,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Lab,Ruth George,High Peak,Leave,51,For,For,For,Abstain,For,Against,Against,Against
SNP,Stephen Gethins,North East Fife,Remain,62,Abstain,For,Abstain,Abstain,For,Against,Against,Against
Con,Nusrat Ghani,Wealden,Leave,53,Against,Against,Against,Against,Against,For,Against,Against
Con,Nick Gibb,Bognor Regis and Littlehampton,Leave,64,Against,Against,Against,Abstain,Against,Abstain,Against,Abstain
SNP,Patricia Gibson,North Ayrshire and Arran,Remain,58,Abstain,For,Abstain,Abstain,For,Against,Against,Against
SF,Michelle Gildernew,Fermanagh and South Tyrone,None,None,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Lab,Preet Kaur Gill,Birmingham - Edgbaston,Remain,53,For,For,For,Abstain,For,Against,Against,Abstain
Con,Dame Cheryl Gillan,Chesham and Amersham,Remain,55,Against,Against,Against,Against,Against,Against,Against,Against
DUP,Paul Girvan,South Antrim,None,None,Against,Against,Against,Abstain,Against,Abstain,For,Abstain
Con,John Glen,Salisbury,Leave,50,Against,Against,Against,Against,Against,Against,Against,Against
Lab,Mary Glindon,North Tyneside,Leave,59,For,Abstain,For,For,Abstain,Against,Against,Abstain
Lab,Roger Godsiff,Birmingham - Hall Green,Remain,66,For,For,For,For,For,Against,Against,Against
Con,Zac Goldsmith,Richmond Park,Remain,72,Against,Against,Against,Against,Against,For,For,Against
Lab,Helen Goodman,Bishop Auckland,Leave,61,For,For,For,For,Abstain,Against,Against,Against
Con,Robert Goodwill,Scarborough and Whitby,Leave,61,Against,Against,Against,Against,Against,For,Against,Against
Con,Michael Gove,Surrey Heath,Leave,52,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
SNP,Patrick Grady,Glasgow North,Remain,78,Abstain,For,Abstain,Abstain,For,Against,Abstain,Against
Con,Luke Graham,Ochil and South Perthshire,Remain,61,Against,Against,Against,Against,Against,Against,Abstain,For
Con,Richard Graham,Gloucester,Leave,59,Abstain,Against,Against,Abstain,Against,Against,Against,Abstain
Con,Bill Grant,Ayr - Carrick and Cumnock,Remain,57,Against,Against,Against,Against,Against,Against,Against,For
Con,Helen Grant,Maidstone and The Weald,Leave,56,Against,Against,Against,Against,Against,Against,Against,Against
SNP,Peter Grant,Glenrothes,Remain,54,Abstain,For,Abstain,Abstain,For,Against,Against,Against
Con,James Gray,North Wiltshire,Leave,50,Against,Against,Against,Against,Against,For,For,Against
SNP,Neil Gray,Airdrie and Shotts,Remain,60,Abstain,For,Abstain,Abstain,For,Against,Against,Against
Con,Chris Grayling,Epsom and Ewell,Remain,52,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Con,Chris Green,Bolton West,Leave,56,Against,Against,Against,Against,Against,For,For,Against
Con,Damian Green,Ashford,Leave,60,For,Against,Against,Against,Against,Against,Abstain,For
Lab,Kate Green,Stretford and Urmston,Remain,52,For,For,For,Abstain,For,Against,Against,Against
Con,Justine Greening,Putney,Remain,73,Abstain,For,Abstain,Abstain,For,Against,Abstain,Abstain
Lab,Lilian Greenwood,Nottingham South,Remain,54,For,For,For,Abstain,For,Against,Against,Against
Lab,Margaret Greenwood,Wirral West,Remain,55,For,For,For,Abstain,Abstain,Against,Against,Abstain
Con,Dominic Grieve,Beaconsfield,Remain,51,Abstain,For,Against,Abstain,For,Against,Against,Against
Lab,Nia Griffith,Llanelli,Leave,55,For,For,For,For,Abstain,Against,Against,Abstain
Con,Andrew Griffiths,Burton,Leave,65,Against,Against,Against,Against,Against,For,Against,Against
Lab,John Grogan,Keighley,Leave,53,For,For,For,For,For,Against,Against,Abstain
Lab,Andrew Gwynne,Denton and Reddish,Leave,61,For,Abstain,For,For,Abstain,Against,Against,Abstain
Con,Sam Gyimah,East Surrey,Leave,54,Abstain,For,Against,Abstain,Abstain,Against,Against,Abstain
Lab,Louise Haigh,Sheffield - Heeley,Leave,58,For,For,For,For,For,Against,Against,Against
Con,Kirstene Hair,Angus,Remain,52,Against,Against,Against,Against,Against,Abstain,Abstain,Against
Con,Robert Halfon,Harlow,Leave,68,Against,Against,Against,For,Against,Against,Abstain,For
Con,Luke Hall,Thornbury and Yate,Leave,53,Against,Against,Against,Against,Against,Against,Against,Against
Lab,Fabian Hamilton,Leeds North East,Remain,63,For,For,For,Abstain,For,Against,Against,Against
Con,Philip Hammond,Runnymede and Weybridge,Remain,50,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Con,Stephen Hammond,Wimbledon,Remain,71,For,Abstain,Against,For,For,Against,Against,For
Con,Matt Hancock,West Suffolk,Leave,63,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Con,Greg Hands,Chelsea and Fulham,Remain,71,Against,Against,Against,Against,Against,Against,Abstain,Against
Lab,David Hanson,Delyn,Leave,55,For,For,For,For,Abstain,Against,Against,Against
Lab,Emma Hardy,Kingston upon Hull West and Hessle,Leave,68,For,For,For,For,Abstain,Against,Against,Abstain
Lab,Harriet Harman,Camberwell and Peckham,Remain,70,For,For,For,For,For,Against,Against,Against
Con,Mark Harper,Forest of Dean,Leave,58,Against,Against,Against,Against,Against,For,For,Against
Con,Richard Harrington,Watford,Leave,51,For,Abstain,Against,For,For,Against,Against,Abstain
Lab,Carolyn Harris,Swansea East,Leave,62,For,Abstain,For,For,Abstain,Against,Against,Abstain
Con,Rebecca Harris,Castle Point,Leave,73,Against,Against,Against,Against,Against,For,For,Against
Con,Trudy Harrison,Copeland,Leave,60,Against,Against,Against,Against,Against,For,Against,For
Con,Simon Hart,Carmarthen West and South Pembro...,Leave,55,Against,Against,Against,For,Against,Abstain,Abstain,For
Lab,Helen Hayes,Dulwich and West Norwood,Remain,78,For,For,For,Abstain,For,Against,Against,Against
Con,Sir John Hayes,South Holland and The Deepings,Leave,71,Against,Against,Against,Against,Against,For,For,Against
Lab,Sue Hayman,Workington,Leave,60,For,For,For,For,Abstain,Against,Against,Abstain
SF,Chris Hazzard,South Down,None,None,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Con,Sir Oliver Heald,North East Hertfordshire,Leave,51,For,Against,Against,Abstain,Against,Against,Against,Abstain
Lab,John Healey,Wentworth and Dearne,Leave,69,For,For,For,Abstain,Abstain,Against,Abstain,Abstain
Con,James Heappey,Wells,Leave,53,Against,Against,Against,Against,Against,Abstain,Abstain,Against
Con,Chris Heaton-Harris,Daventry,Leave,59,Against,Against,Against,Against,Against,For,Against,Against
Con,Peter Heaton-Jones,North Devon,Leave,57,Against,Against,Against,Against,Against,Abstain,Against,Against
Con,Gordon Henderson,Sittingbourne and Sheppey,Leave,66,Against,Against,Against,Against,Against,For,For,For
Lab,Sir Mark Hendrick,Preston,Leave,57,For,For,For,For,For,Against,Against,For
SNP,Drew Hendry,Inverness - Nairn - Badenoch and S...,Remain,59,Abstain,For,Abstain,Abstain,For,Against,Against,Against
Lab,Stephen Hepburn,Jarrow,Leave,62,Against,Against,Against,Against,Against,Against,Against,Against
Con,Nick Herbert,Arundel and South Downs,Leave,51,For,Against,Against,For,Against,Against,Against,For
Ind,Lady Hermon,North Down,None,None,Against,For,Against,Against,For,Against,Against,Against
Lab,Mike Hill,Hartlepool,Leave,70,For,Against,For,Abstain,Abstain,Against,Against,Abstain
Lab,Meg Hillier,Hackney South and Shoreditch,Remain,78,For,For,For,Abstain,For,Against,Against,Against
Con,Damian Hinds,East Hampshire,Remain,51,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Con,Simon Hoare,North Dorset,Leave,56,For,Against,Against,For,Against,Against,Against,For
LD,Wera Hobhouse,Bath,Remain,68,Against,For,Against,Against,For,Against,Against,Against
Lab,Dame Margaret Hodge,Barking,Leave,60,For,For,For,Abstain,For,Against,Against,Against
Lab,Sharon Hodgson,Washington and Sunderland West,Leave,62,For,For,For,For,Abstain,Against,Against,Against
Lab,Kate Hoey,Vauxhall,Remain,78,Against,Against,Abstain,Against,Against,For,For,Abstain
Lab,Kate Hollern,Blackburn,Leave,54,For,For,For,For,Abstain,Abstain,Abstain,Abstain
Con,George Hollingbery,Meon Valley,Leave,53,Against,Against,Against,Against,Against,Against,For,Against
Con,Kevin Hollinrake,Thirsk and Malton,Leave,56,Against,Against,Against,For,Against,Against,Against,For
Con,Philip Hollobone,Kettering,Leave,61,Against,Against,Against,Against,Against,For,For,Against
Con,Adam Holloway,Gravesham,Leave,65,Against,Against,Against,Against,Against,For,For,Against
Ind,Kelvin Hopkins,Luton North,Leave,58,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
SNP,Stewart Hosie,Dundee East,Remain,62,Abstain,For,Abstain,Abstain,For,Against,Against,Against
Lab,George Howarth,Knowsley,Leave,52,For,For,For,For,For,Against,Against,Against
Con,John Howell,Henley,Remain,57,Against,Abstain,Against,Against,Against,Against,Against,Against
Lab,Sir Lindsay Hoyle,Chorley,Leave,57,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Con,Nigel Huddleston,Mid Worcestershire,Leave,59,Abstain,Against,Against,Abstain,Against,Abstain,Abstain,Abstain
Con,Eddie Hughes,Walsall North,Leave,74,Against,Against,Against,Against,Against,For,For,Against
Con,Jeremy Hunt,South West Surrey,Remain,59,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Lab,Rupa Huq,Ealing Central and Acton,Remain,71,For,For,For,Abstain,For,Against,Against,Against
Con,Nick Hurd,Ruislip - Northwood and Pinner,Remain,51,Abstain,Abstain,Against,Abstain,Against,Against,Against,Abstain
Lab,Imran Hussain,Bradford East,Leave,55,For,For,For,For,Abstain,Against,Against,Abstain
Con,Alister Jack,Dumfries and Galloway,Remain,55,Against,Against,Against,Against,Against,Against,For,Against
Con,Margot James,Stourbridge,Leave,64,For,Abstain,Against,For,Abstain,Against,Against,Abstain
LD,Christine Jardine,Edinburgh West,Remain,71,Abstain,For,Abstain,Abstain,For,Against,Against,Abstain
Lab,Dan Jarvis,Barnsley Central,Leave,68,For,Against,For,For,Abstain,Against,Against,Abstain
Con,Sajid Javid,Bromsgrove,Leave,55,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Con,Ranil Jayawardena,North East Hampshire,Remain,54,Against,Against,Against,Against,Against,For,For,Against
Con,Sir Bernard Jenkin,Harwich and North Essex,Leave,61,Against,Against,Against,Against,Against,For,For,Against
Con,Andrea Jenkyns,Morley and Outwood,Leave,60,Against,Against,Against,Against,Against,For,For,Against
Con,Robert Jenrick,Newark,Leave,56,Against,Against,Against,Against,Against,For,Against,Against
Con,Boris Johnson,Uxbridge and South Ruislip,Leave,56,Against,Against,Against,Against,Against,For,For,Against
Con,Caroline Johnson,Sleaford and North Hykeham,Leave,62,Against,Against,Against,Against,Against,For,For,Against
Lab,Diana Johnson,Kingston upon Hull North,Leave,60,For,For,For,For,Abstain,Against,Against,Against
Con,Gareth Johnson,Dartford,Leave,64,Against,Against,Against,Against,Against,For,For,Against
Con,Joseph Johnson,Orpington,Leave,58,Against,For,Against,Against,Against,Against,Against,Against
Con,Andrew Jones,Harrogate and Knaresborough,Remain,53,Against,Against,Against,Against,Against,Against,Against,Against
Lab,Darren Jones,Bristol North West,Remain,61,For,For,For,Abstain,For,Against,Against,Against
Con,David Jones,Clwyd West,Leave,53,Against,Against,Against,Against,Against,For,For,Against
Lab,Gerald Jones,Merthyr Tydfil and Rhymney,Leave,58,For,For,For,For,Abstain,Against,Against,Abstain
Lab,Debbie Abrahams,Oldham East and Saddleworth,Leave,60,For,For,For,Abstain,Abstain,Against,Against,Against
Lab,Helen Jones,Warrington North,Leave,59,For,Against,For,For,Against,Against,Against,Against
Lab,Kevan Jones,North Durham,Leave,60,For,Against,For,Against,Abstain,Against,Against,Against
Con,Marcus Jones,Nuneaton,Leave,65,Against,Against,Against,Against,Against,For,Against,Against
Lab,Sarah Jones,Croydon Central,Leave,50,For,For,For,For,For,Against,Against,Abstain
Lab,Susan Elan Jones,Clwyd South,Leave,60,For,For,For,Abstain,For,Against,Against,Against
Lab,Mike Kane,Wythenshawe and Sale East,Remain,50,For,Abstain,For,For,Abstain,Against,Against,Abstain
Con,Daniel Kawczynski,Shrewsbury and Atcham,Leave,53,Against,Against,Against,Against,Against,For,Against,Against
Con,Gillian Keegan,Chichester,Leave,51,Against,Against,Against,Against,Against,Against,Against,Abstain
Lab,Barbara Keeley,Worsley and Eccles South,Leave,60,For,For,For,Abstain,Abstain,Against,Against,Abstain
Lab,Liz Kendall,Leicester West,Leave,52,For,For,For,Abstain,For,Against,Against,Against
Con,Seema Kennedy,South Ribble,Leave,57,Against,Against,Against,Against,Against,Against,Against,Against
Con,Stephen Kerr,Stirling,Remain,68,Against,Against,Against,Against,Against,Against,Against,For
Lab,Afzal Khan,Manchester - Gorton,Remain,62,For,For,For,For,Abstain,Against,Against,Abstain
Lab,Ged Killen,Rutherglen and Hamilton West,Remain,63,For,For,For,Abstain,For,Against,Against,Against
Lab,Stephen Kinnock,Aberavon,Leave,60,For,Abstain,For,For,Abstain,Against,Against,For
Con,Sir Greg Knight,East Yorkshire,Leave,63,Against,Against,Against,Against,Against,For,Against,Against
Con,Julian Knight,Solihull,Leave,53,Against,Against,Against,Against,Against,Abstain,For,For
Con,Kwasi Kwarteng,Spelthorne,Leave,60,Against,Against,Against,Against,Against,For,Against,Against
Lab,Peter Kyle,Hove,Remain,66,For,For,For,For,For,Against,Against,Against
Con,Dame Eleanor Laing,Epping Forest,Leave,61,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Lab,Lesley Laird,Kirkcaldy and Cowdenbeath,Remain,58,For,For,For,For,For,Against,Against,Abstain
PC,Ben Lake,Ceredigion,Remain,55,Abstain,For,Abstain,For,For,Against,Against,Abstain
LD,Norman Lamb,North Norfolk,Leave,58,For,For,Abstain,For,Abstain,Against,Against,Abstain
Lab,David Lammy,Tottenham,Remain,76,Abstain,For,For,Abstain,For,Against,Against,Against
Con,John Lamont,Berwickshire - Roxburgh and Selkirk,Remain,57,Against,Against,Against,Against,Against,Abstain,Abstain,Against
Con,Mark Lancaster,Milton Keynes North,Remain,50,Against,Against,Against,Against,Against,For,For,Against
Con,Pauline Latham,Mid Derbyshire,Leave,53,Against,Against,Against,Against,Against,Abstain,For,Against
Lab,Ian Lavery,Wansbeck,Leave,56,For,Abstain,For,For,Abstain,Against,For,Abstain
SNP,Chris Law,Dundee West,Remain,59,Abstain,For,Abstain,Abstain,For,Against,Against,Against
Con,Andrea Leadsom,South Northamptonshire,Leave,53,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Lab,Karen Lee,Lincoln,Leave,57,For,For,For,Against,Abstain,Against,Against,Abstain
Con,Phillip Lee,Bracknell,Leave,53,Against,For,Against,Against,For,Against,Against,Against
Con,Jeremy Lefroy,Stafford,Leave,57,For,Abstain,Abstain,For,Abstain,Against,Abstain,For
Con,Sir Edward Leigh,Gainsborough,Leave,62,Against,Against,Against,Against,Against,For,For,Against
TIG,Chris Leslie,Nottingham East,Remain,57,Against,For,Against,Against,For,Against,Against,Against
